SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,language,list,trialID,trial,trialType,phase,extra
107941504,0.484240085,0.538934708,1,0.481649905,0.504483342,1,3.453521729,1,0.486830264,0.573386133,1,3.412124634,1,1,spa,1,7,1,NA,prime,zapato
107941512,0.485401183,0.523487091,1,0.482173145,0.473731786,1,3.437316895,1,0.488629222,0.573242426,1,3.423904419,1,1,spa,1,7,1,NA,prime,zapato
107941528,0.487452805,0.512909353,1,0.484026819,0.488546997,1,3.444381714,1,0.49087882,0.537271678,1,3.359725952,1,1,spa,1,7,1,NA,prime,zapato
107941536,0.482801616,0.527661204,1,0.479414314,0.493715465,1,3.453155518,1,0.486188889,0.561606884,1,3.464950562,1,1,spa,1,7,1,NA,prime,zapato
107941544,0.483923614,0.506523728,1,0.483918309,0.484633893,1,3.46144104,1,0.483928889,0.528413594,1,3.432250977,1,1,spa,1,7,1,NA,prime,zapato
107941552,0.484659612,0.500058413,1,0.48424989,0.473046839,1,3.401748657,1,0.485069335,0.527070045,1,3.438796997,1,1,spa,1,7,1,NA,prime,zapato
107941560,0.483251035,0.52132988,1,0.481188446,0.500723183,1,3.467071533,1,0.485313654,0.541936517,1,3.463302612,1,1,spa,1,7,1,NA,prime,zapato
107941568,0.487540781,0.507301509,1,0.485067457,0.491845101,1,3.470397949,1,0.490014106,0.522757947,1,3.430587769,1,1,spa,1,7,1,NA,prime,zapato
107941576,0.483970582,0.492499948,1,0.483691812,0.483794987,1,3.445800781,1,0.484249353,0.501204908,1,3.417633057,1,1,spa,1,7,1,NA,prime,zapato
107941584,0.482983172,0.496676743,1,0.48270762,0.45807457,1,3.375015259,1,0.483258694,0.535278916,1,3.451324463,1,1,spa,1,7,1,NA,prime,zapato
107941592,0.484978974,0.491256297,1,0.482997775,0.481051236,1,3.417892456,1,0.486960143,0.501461327,1,3.40284729,1,1,spa,1,7,1,NA,prime,zapato
107941600,0.4876436,0.503679156,1,0.489633679,0.48897633,1,3.434997559,1,0.48565352,0.518381953,1,3.451629639,1,1,spa,1,7,1,NA,prime,zapato
107941608,0.481854528,0.516627729,1,0.482983619,0.501314998,1,3.458465576,1,0.480725437,0.53194046,1,3.479049683,1,1,spa,1,7,1,NA,prime,zapato
107941616,0.487557709,0.512834668,1,0.489631265,0.520409167,1,3.512252808,1,0.485484123,0.50526017,1,3.402511597,1,1,spa,1,7,1,NA,prime,zapato
107941624,0.486730099,0.503713429,1,0.483671427,0.509850085,1,3.486297607,1,0.4897888,0.497576773,1,3.379119873,1,1,spa,1,7,1,NA,prime,zapato
107941632,0.486127913,0.503723085,1,0.484336615,0.494631916,1,3.445831299,1,0.487919182,0.512814283,1,3.460403442,1,1,spa,1,7,1,NA,prime,zapato
107941640,0.485372186,0.505803227,1,0.484084994,0.493618548,1,3.457519531,1,0.486659348,0.517987907,1,3.454391479,1,1,spa,1,7,1,NA,prime,zapato
107941648,0.483147025,0.459357321,1,0.482543439,0.419782281,1,3.285766602,1,0.483750612,0.498932362,1,3.456451416,1,1,spa,1,7,1,NA,prime,zapato
107941656,0.483654171,0.46834445,1,0.480941862,0.441084266,1,3.344055176,1,0.486366481,0.495604664,1,3.420211792,1,1,spa,1,7,1,NA,prime,zapato
107941664,0.486960351,0.499805093,1,0.489646375,0.503276408,1,3.488143921,1,0.484274328,0.496333808,1,3.413833618,1,1,spa,1,7,1,NA,prime,zapato
107941672,0.487852633,0.478552192,1,0.48811546,0.454250753,1,3.358276367,1,0.487589836,0.502853632,1,3.473617554,1,1,spa,1,7,1,NA,prime,zapato
107941680,0.486213803,0.471047193,1,0.483596951,0.455421001,1,3.374282837,1,0.488830686,0.486673385,1,3.415557861,1,1,spa,1,7,1,NA,prime,zapato
