"profile"	"language"	"ID"	"TimeBin"	"trialType"	"SamplesInAOI"	"SamplesTotal"	"Prop"	"Time"
"825"	"monolingual"	"spa"	"cognatepriming5"	34	"cognate"	24	35	68.5714285714286	1700
"826"	"monolingual"	"spa"	"cognatepriming5"	35	"unrelated"	24	64	37.5	1750
"827"	"monolingual"	"spa"	"cognatepriming5"	35	"noncognate"	18	24	75	1750
"828"	"monolingual"	"spa"	"cognatepriming5"	35	"cognate"	24	36	66.6666666666667	1750
"829"	"monolingual"	"spa"	"cognatepriming5"	36	"unrelated"	29	65	44.6153846153846	1800
"830"	"monolingual"	"spa"	"cognatepriming5"	36	"noncognate"	18	24	75	1800
"831"	"monolingual"	"spa"	"cognatepriming5"	36	"cognate"	21	33	63.6363636363636	1800
"832"	"monolingual"	"spa"	"cognatepriming5"	37	"unrelated"	30	66	45.4545454545455	1850
"833"	"monolingual"	"spa"	"cognatepriming5"	37	"noncognate"	18	21	85.7142857142857	1850
"834"	"monolingual"	"spa"	"cognatepriming5"	37	"cognate"	18	36	50	1850
"835"	"monolingual"	"spa"	"cognatepriming5"	38	"unrelated"	30	66	45.4545454545455	1900
"836"	"monolingual"	"spa"	"cognatepriming5"	38	"noncognate"	18	18	100	1900
"837"	"monolingual"	"spa"	"cognatepriming5"	38	"cognate"	18	34	52.9411764705882	1900
"838"	"monolingual"	"spa"	"cognatepriming5"	39	"unrelated"	30	64	46.875	1950
"839"	"monolingual"	"spa"	"cognatepriming5"	39	"noncognate"	13	13	100	1950
"840"	"monolingual"	"spa"	"cognatepriming5"	39	"cognate"	15	32	46.875	1950
